ticker,current_price,basic_snapshot,previous_close,percent_change,latest_volume,rsi_14,sma_20,sma_50,sma_200,ema_12,ema_20,ema_50,ema_200,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_14,adx_14,support_20,resistance_20,support_75,resistance_75,support_200,resistance_200,pct_ytd_return,low_52w,high_52w,range_pos_pct,pct_from_52w_high,pct_from_52w_low,earnings_date,dividend_date,ex_dividend_date
INTC,20.27,20.27,19.74,2.71,1598369.0,46.81,20.84,20.87,21.64,20.39,20.55,20.91,22.64,-0.24,-0.12,22.45,20.84,19.23,0.77,9.63,19.94,20.57,19.94,20.57,19.94,20.57,0.27,18.13,34.65,12.98,-41.49,11.83,2025-07-30,2024-08-31,2024-08-06
CSCO,64.25,64.25,63.87,0.59,305771.0,66.84,62.45,59.68,57.91,63.13,62.34,60.92,56.73,1.27,1.27,65.75,62.45,59.16,1.16,30.16,62.48,63.98,62.48,63.98,62.48,63.98,10.19,43.81,64.44,99.1,-0.29,46.68,2025-08-13,2025-07-22,2025-07-02
ADBE,412.12,412.12,403.0,2.26,60816.0,59.79,404.6,382.09,458.72,408.61,403.31,397.53,451.86,8.51,9.24,429.25,404.6,379.96,8.65,29.68,375.96,422.9,332.51,464.76,434.88,452.07,-6.57,340.0,586.55,29.22,-29.75,21.19,2025-06-12,,2005-03-23
PYPL,71.26,71.26,70.95,0.44,234465.0,56.55,71.13,66.96,76.58,70.94,70.33,69.58,72.1,1.05,1.32,73.57,71.13,68.7,1.73,26.36,71.15,72.4,69.48,72.4,69.48,72.4,-17.31,57.22,91.81,40.6,-22.38,24.55,2025-07-29,,
CRM,263.55,263.55,261.68,0.71,324246.0,39.7,279.1,268.84,295.77,272.38,273.77,276.33,282.35,-1.49,1.58,297.89,279.1,260.3,7.54,21.91,254.87,296.03,268.84,256.55,254.87,291.94,-20.19,227.7,366.87,25.7,-28.19,15.71,2025-08-26,2025-04-23,2025-04-09
BABA,115.05,115.045,114.73,0.27,644002.0,40.03,122.92,120.9,104.87,118.76,120.14,120.79,104.44,-1.88,-0.58,134.2,122.92,111.63,3.6,17.52,111.74,134.5,125.19,134.5,125.19,134.5,35.45,72.0,147.57,56.99,-22.03,59.81,2025-08-13,2025-07-09,2025-06-11
VZ,43.8,43.805,44.12,-0.71,419616.0,52.42,43.56,43.61,42.4,43.64,43.58,43.39,42.42,0.09,0.04,44.6,43.56,42.53,0.72,13.4,43.06,44.22,43.06,44.22,43.06,44.22,12.66,36.97,45.76,77.83,-4.26,18.5,2025-07-21,2025-04-30,2025-04-09
T,27.91,27.915,27.95,-0.14,780382.0,56.15,27.52,27.4,24.09,27.61,27.53,27.17,24.08,0.13,0.09,28.46,27.52,26.58,0.52,12.02,27.34,28.25,27.34,28.25,27.34,28.25,25.12,16.74,28.3,96.63,-1.38,66.75,2025-07-23,2025-04-30,2025-04-09
DIS,113.66,113.66,112.95,0.63,318447.0,69.96,109.88,98.28,102.0,111.2,108.54,103.5,100.64,4.39,4.63,119.97,109.88,99.78,2.39,40.35,110.16,113.37,108.95,113.37,108.95,113.37,2.55,81.72,117.08,90.3,-2.93,39.07,2025-08-05,2025-07-22,2025-06-23
WMT,99.97,99.96,99.82,0.15,440456.0,64.13,97.53,93.68,89.17,98.0,97.35,95.38,87.37,1.15,1.09,99.87,97.53,95.19,2.01,11.68,95.98,98.8,95.13,98.8,95.13,98.8,11.62,65.15,104.51,88.4,-4.37,53.41,2025-08-21,2026-01-04,2025-08-14
KO,71.3,71.295,72.04,-1.03,637663.0,49.27,71.27,71.31,68.03,71.55,71.49,70.95,68.37,0.12,0.09,73.2,71.27,69.34,1.12,12.13,70.47,72.12,70.47,72.12,70.47,72.12,16.14,60.36,73.9,80.75,-3.53,18.11,2025-07-21,2025-06-30,2025-06-12
PEP,131.73,131.73,130.88,0.65,164200.0,45.37,130.97,137.89,155.04,131.28,132.07,136.71,152.55,-1.69,-2.31,132.83,130.97,129.11,2.23,30.25,129.14,132.18,129.14,132.18,129.14,132.18,-11.53,128.45,175.14,7.03,-24.78,2.55,2025-07-09,2025-06-29,2025-06-05
PFE,23.41,23.415,23.46,-0.19,1125500.0,51.93,23.04,23.29,26.24,23.29,23.23,23.59,25.9,0.04,-0.05,23.86,23.04,22.22,0.53,12.49,22.92,23.64,22.92,23.64,22.92,23.64,-8.87,21.19,29.84,25.71,-21.54,10.5,2025-07-28,2025-06-12,2025-05-08
JNJ,154.79,154.795,155.41,-0.39,108658.0,52.86,153.01,154.88,156.55,153.69,153.64,154.68,155.34,-0.14,-0.65,158.02,153.01,148.01,2.53,8.72,151.67,157.92,151.67,154.38,151.67,154.38,9.27,139.73,166.27,56.77,-6.9,10.78,2025-07-16,2025-06-09,2025-05-26
MRK,76.98,76.98,76.27,0.93,350197.0,45.27,77.04,80.56,97.02,77.03,77.66,80.96,97.04,-1.23,-1.46,80.0,77.04,74.08,2.04,16.37,73.33,78.18,76.04,78.18,76.04,78.18,-21.7,73.47,129.91,6.23,-40.74,4.78,2025-07-29,2025-07-07,2025-06-15
ABT,133.57,133.57,133.61,-0.03,111389.0,54.84,132.84,130.6,122.15,132.94,132.56,131.16,121.74,0.68,0.72,136.32,132.84,129.37,2.35,9.13,131.19,136.1,131.7,136.1,131.7,136.1,18.91,98.62,139.57,85.34,-4.3,35.43,2025-07-16,2025-05-14,2025-04-14
UNH,301.62,301.635,304.77,-1.03,179101.0,31.04,322.37,425.82,519.75,309.46,329.16,392.94,492.85,-35.34,-40.72,398.47,322.37,246.28,16.02,44.75,248.93,404.45,248.93,605.67,503.74,605.67,-39.96,274.35,620.21,7.89,-51.36,9.95,2025-07-29,2025-03-17,2025-03-09
CVX,139.91,139.91,137.87,1.48,195380.0,51.9,138.32,142.94,149.77,137.96,138.38,142.04,148.41,-1.03,-1.45,143.13,138.32,133.52,2.93,15.64,133.78,143.62,134.1,137.96,134.1,137.96,-2.41,132.12,166.48,22.64,-15.97,5.89,2025-07-31,2025-06-09,2025-05-18
XOM,103.93,103.93,103.08,0.82,354410.0,45.16,105.26,107.42,112.36,103.92,104.69,106.59,111.32,-1.24,-1.08,110.14,105.26,100.39,2.11,18.17,101.76,110.5,101.76,104.42,101.76,104.42,-1.39,99.02,122.12,21.24,-14.9,4.96,2025-07-31,2025-06-09,2025-05-14
BA,213.68,213.675,211.36,1.1,178602.0,74.97,202.06,181.31,168.37,205.42,200.69,188.1,174.26,8.09,8.28,216.78,202.06,187.35,5.11,36.84,183.62,215.74,183.62,215.74,183.62,183.84,24.32,136.59,213.67,100.0,0.0,56.43,2025-07-29,2020-03-05,2020-02-12
MMM,148.04,148.02,146.38,1.14,46512.0,53.35,147.83,142.46,138.31,148.24,147.16,144.77,134.97,1.85,2.36,156.7,147.83,138.96,3.36,13.0,146.82,150.28,146.82,150.28,146.82,150.28,15.27,96.23,154.36,89.12,-4.1,53.84,2025-07-24,2025-06-11,2025-05-22
CAT,349.12,349.09,344.73,1.27,40274.0,60.22,343.33,322.61,358.01,345.98,341.27,333.99,346.54,7.75,8.51,364.91,343.33,321.75,7.58,29.36,318.21,352.98,337.69,352.98,337.69,352.98,-2.15,272.63,413.37,54.3,-15.56,28.03,2025-08-05,2025-05-19,2025-04-20
GE,248.25,248.26,247.4,0.34,175733.0,81.48,230.53,208.16,189.99,238.58,231.4,215.85,191.29,11.6,10.71,255.21,230.53,205.86,5.14,46.24,206.25,250.5,197.15,250.5,197.15,188.37,47.5,154.66,248.21,100.0,0.0,60.49,2025-07-22,2025-04-24,2025-03-09
IBM,265.46,265.46,263.88,0.6,72147.0,61.27,259.64,247.84,232.3,260.88,258.28,251.87,228.58,4.38,4.68,270.86,259.64,248.41,5.33,11.85,244.87,269.12,252.88,264.97,258.03,264.97,22.29,160.42,268.41,97.22,-1.12,65.44,2025-07-23,2025-06-09,2025-05-08
INTU,760.31,760.31,764.62,-0.56,48963.0,78.39,690.48,636.87,627.49,724.36,700.46,656.7,632.26,37.12,29.6,783.62,690.48,597.34,15.81,41.77,623.47,768.09,533.16,620.36,653.78,672.11,22.48,543.12,764.99,97.83,-0.63,39.96,2025-08-20,2025-07-17,2025-07-09
ORCL,168.93,168.925,166.53,1.44,174925.0,70.07,158.98,146.48,162.14,162.07,158.59,153.5,155.06,5.5,4.96,170.53,158.98,147.43,4.11,26.17,146.08,169.07,156.83,136.44,154.53,163.34,2.33,117.96,191.27,69.45,-11.71,43.16,2025-06-09,2025-04-22,2025-04-09
QCOM,148.71,148.705,146.67,1.39,152231.0,52.01,148.63,145.6,159.97,148.01,147.72,148.44,161.61,0.48,0.86,156.11,148.63,141.15,4.22,12.22,137.48,153.89,138.5,156.12,138.5,156.12,-2.65,124.66,223.54,24.37,-33.45,19.33,2025-07-29,2025-06-25,2025-06-04
