ticker,current_price,strategy,percent_from_strike,short_strike,long_strike,short_strike_price,long_strike_credit,max_loss,max_profit,width,percent_profit_of_width,avg_oi,expiration
GE,248.87,Bull Put,15.62,210.0,200.0,1.32,0.83,951.0,49.0,10.0,4.9,710.5,2025-07-18
INTU,764.66,Bull Put,0.61,760.0,755.0,10.7,10.1,440.0,60.0,5.0,12.0,129.0,2025-06-20
INTU,764.66,Bull Put,3.22,740.0,735.0,5.5,5.0,450.0,50.0,5.0,10.0,80.0,2025-06-20
INTU,764.66,Bull Put,56.84,330.0,320.0,0.3,0.2,990.0,10.0,10.0,1.0,8.0,2025-06-20
INTU,764.66,Bull Put,5.84,720.0,700.0,4.4,3.9,1950.0,50.0,20.0,2.5,19.0,2025-07-03
INTU,764.66,Bull Put,0.61,760.0,750.0,20.3,19.1,880.0,120.0,10.0,12.0,91.5,2025-07-18
INTU,764.66,Bull Put,1.92,750.0,740.0,16.4,15.9,950.0,50.0,10.0,5.0,75.0,2025-07-18
INTU,764.66,Bull Put,3.22,740.0,730.0,13.2,12.9,970.0,30.0,10.0,3.0,131.0,2025-07-18
INTU,764.66,Bull Put,4.53,730.0,720.0,10.6,10.2,960.0,40.0,10.0,4.0,396.0,2025-07-18
INTU,764.66,Bull Put,7.15,710.0,700.0,6.8,6.4,960.0,40.0,10.0,4.0,297.0,2025-07-18
GILD,109.33,Bull Put,3.96,105.0,100.0,3.8,2.57,377.0,123.0,5.0,24.6,2854.5,2025-07-18
GILD,109.33,Bull Put,8.53,100.0,95.0,2.2,1.57,437.0,63.0,5.0,12.6,3276.0,2025-07-18
GILD,109.33,Bull Put,13.11,95.0,90.0,1.31,0.99,468.0,32.0,5.0,6.4,1664.0,2025-07-18
CRM,264.47,Bear Call,0.2,265.0,267.5,5.3,5.05,225.0,25.0,2.5,10.0,796.5,2025-06-20
CRM,264.47,Bear Call,1.15,267.5,270.0,4.2,3.9,220.0,30.0,2.5,12.0,6546.5,2025-06-20
CRM,264.47,Bear Call,2.09,270.0,272.5,3.6,3.05,195.0,55.0,2.5,22.0,6211.0,2025-06-20
CRM,264.47,Bear Call,3.04,272.5,275.0,2.81,2.25,194.0,56.0,2.5,22.4,1253.5,2025-06-20
CRM,264.47,Bear Call,3.98,275.0,277.5,2.04,1.7,216.0,34.0,2.5,13.6,1599.0,2025-06-20
CRM,264.47,Bear Call,0.2,265.0,270.0,7.2,7.0,480.0,20.0,5.0,4.0,131.5,2025-07-03
CRM,264.47,Bear Call,2.09,270.0,275.0,5.55,3.9,335.0,165.0,5.0,33.0,158.5,2025-07-03
CRM,264.47,Bear Call,3.98,275.0,280.0,3.5,2.86,436.0,64.0,5.0,12.8,296.5,2025-07-03
CRM,264.47,Bear Call,5.87,280.0,285.0,2.46,1.89,443.0,57.0,5.0,11.4,313.5,2025-07-03
CRM,264.47,Bear Call,9.65,290.0,295.0,1.06,0.85,479.0,21.0,5.0,4.2,67.0,2025-07-03
CRM,264.47,Bear Call,2.09,270.0,280.0,7.65,4.4,675.0,325.0,10.0,32.5,2541.5,2025-07-18
CRM,264.47,Bear Call,5.87,280.0,290.0,4.2,2.25,805.0,195.0,10.0,19.5,2025.5,2025-07-18
CRM,264.47,Bear Call,9.65,290.0,300.0,2.19,1.25,906.0,94.0,10.0,9.4,2262.0,2025-07-18
CRM,264.47,Bear Call,13.43,300.0,310.0,1.13,0.73,960.0,40.0,10.0,4.0,1878.0,2025-07-18
CRM,264.47,Bear Call,21.0,320.0,330.0,0.41,0.35,994.0,6.0,10.0,0.6,4666.0,2025-07-18
REGN,487.86,Bear Call,76.28,860.0,870.0,22.5,0.3,-1220.0,2220.0,10.0,222.0,32.5,2025-06-20
REGN,487.86,Bear Call,129.57,1120.0,1140.0,6.4,4.6,1820.0,180.0,20.0,9.0,51.0,2025-06-20
REGN,487.86,Bear Call,182.87,1380.0,1400.0,6.7,1.75,1505.0,495.0,20.0,24.75,9.5,2025-06-20
REGN,487.86,Bear Call,203.37,1480.0,1500.0,19.1,4.8,570.0,1430.0,20.0,71.5,6.0,2025-06-20
REGN,487.86,Bear Call,223.86,1580.0,1600.0,9.2,4.8,1560.0,440.0,20.0,22.0,1.0,2025-06-20
REGN,487.86,Bear Call,5.56,515.0,520.0,16.1,16.0,490.0,10.0,5.0,2.0,51.5,2025-07-18
REGN,487.86,Bear Call,6.59,520.0,525.0,14.5,14.3,480.0,20.0,5.0,4.0,59.0,2025-07-18
TMO,399.93,Bear Call,0.02,400.0,402.5,10.8,10.5,220.0,30.0,2.5,12.0,43.0,2025-06-20
TMO,399.93,Bear Call,1.27,405.0,407.5,8.3,8.2,240.0,10.0,2.5,4.0,52.5,2025-06-20
TMO,399.93,Bear Call,1.89,407.5,410.0,7.3,7.0,220.0,30.0,2.5,12.0,83.0,2025-06-20
TMO,399.93,Bear Call,2.52,410.0,412.5,6.3,6.1,230.0,20.0,2.5,8.0,79.0,2025-06-20
TMO,399.93,Bear Call,1.27,405.0,420.0,11.3,7.8,1150.0,350.0,15.0,23.33,3.0,2025-07-03
TMO,399.93,Bear Call,0.02,400.0,410.0,18.9,15.0,610.0,390.0,10.0,39.0,78.0,2025-07-18
TMO,399.93,Bear Call,2.52,410.0,420.0,12.5,11.0,850.0,150.0,10.0,15.0,110.0,2025-07-18
TMO,399.93,Bear Call,5.02,420.0,430.0,10.0,7.5,750.0,250.0,10.0,25.0,104.0,2025-07-18
TMO,399.93,Bear Call,7.52,430.0,440.0,6.7,5.3,860.0,140.0,10.0,14.0,59.0,2025-07-18
TMO,399.93,Bear Call,12.52,450.0,460.0,2.75,2.35,960.0,40.0,10.0,4.0,71.0,2025-07-18
